legacy_reply_id,legacy_topic_id,legacy_author_id,content,created_at,updated_at,status,upvotes_count,legacy_parent_reply_id,sort_order
r-2019,t-2005,u-2039,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-15T15:00:00+00:00,2024-02-15T16:00:00+00:00,publish,37,,3
r-2020,t-2005,u-2040,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-16T17:00:00+00:00,2024-02-16T18:00:00+00:00,publish,3,,4
r-2021,t-2006,u-2041,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-20T12:00:00+00:00,2024-02-20T13:00:00+00:00,publish,36,,1
r-2022,t-2006,u-2042,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-21T14:00:00+00:00,2024-02-21T15:00:00+00:00,publish,39,,2
r-2023,t-2006,u-2043,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-22T16:00:00+00:00,2024-02-22T17:00:00+00:00,publish,5,,3
r-2024,t-2006,u-2044,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-23T18:00:00+00:00,2024-02-23T19:00:00+00:00,publish,8,,4
r-2025,t-2007,u-2045,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-27T13:00:00+00:00,2024-02-27T14:00:00+00:00,publish,4,,1
r-2026,t-2007,u-2046,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-28T15:00:00+00:00,2024-02-28T16:00:00+00:00,publish,7,,2
r-2027,t-2007,u-2047,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-29T17:00:00+00:00,2024-02-29T18:00:00+00:00,publish,10,,3
r-2028,t-2007,u-2048,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-01T19:00:00+00:00,2024-03-01T20:00:00+00:00,publish,13,,4
r-2029,t-2008,u-2049,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-05T14:00:00+00:00,2024-03-05T15:00:00+00:00,publish,9,,1
r-2030,t-2008,u-2050,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-06T16:00:00+00:00,2024-03-06T17:00:00+00:00,publish,12,,2
r-2031,t-2008,u-2051,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-07T18:00:00+00:00,2024-03-07T19:00:00+00:00,publish,15,,3
r-2032,t-2008,u-2052,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-08T20:00:00+00:00,2024-03-08T21:00:00+00:00,publish,18,,4
r-2033,t-2009,u-2053,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-12T15:00:00+00:00,2024-03-12T16:00:00+00:00,publish,14,,1
r-2034,t-2009,u-2054,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-13T17:00:00+00:00,2024-03-13T18:00:00+00:00,publish,17,,2
r-2035,t-2009,u-2055,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-14T19:00:00+00:00,2024-03-14T20:00:00+00:00,publish,20,,3
r-2036,t-2009,u-2056,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-15T21:00:00+00:00,2024-03-15T22:00:00+00:00,publish,23,,4
r-2037,t-2010,u-2057,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-19T11:00:00+00:00,2024-03-19T12:00:00+00:00,publish,19,,1
r-2038,t-2010,u-2058,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-20T13:00:00+00:00,2024-03-20T14:00:00+00:00,publish,22,,2
r-2039,t-2010,u-2059,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-21T15:00:00+00:00,2024-03-21T16:00:00+00:00,publish,25,,3
r-2040,t-2010,u-2060,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-22T17:00:00+00:00,2024-03-22T18:00:00+00:00,publish,28,,4
r-2041,t-2011,u-2061,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-26T12:00:00+00:00,2024-03-26T13:00:00+00:00,publish,24,,1
r-2042,t-2011,u-2062,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-27T14:00:00+00:00,2024-03-27T15:00:00+00:00,publish,27,,2
r-2043,t-2011,u-2063,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-28T16:00:00+00:00,2024-03-28T17:00:00+00:00,publish,30,,3
r-2044,t-2011,u-2064,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-03-29T18:00:00+00:00,2024-03-29T19:00:00+00:00,publish,33,,4
r-2045,t-2012,u-2065,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-02T13:00:00+00:00,2024-04-02T14:00:00+00:00,publish,29,,1
r-2046,t-2012,u-2066,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-03T15:00:00+00:00,2024-04-03T16:00:00+00:00,publish,32,,2
r-2047,t-2012,u-2067,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-04T17:00:00+00:00,2024-04-04T18:00:00+00:00,publish,35,,3
r-2048,t-2012,u-2068,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-05T19:00:00+00:00,2024-04-05T20:00:00+00:00,publish,38,,4
r-2049,t-2013,u-2069,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-09T14:00:00+00:00,2024-04-09T15:00:00+00:00,publish,34,,1
r-2050,t-2013,u-2070,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-10T16:00:00+00:00,2024-04-10T17:00:00+00:00,publish,37,,2
r-2051,t-2013,u-2071,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-11T18:00:00+00:00,2024-04-11T19:00:00+00:00,publish,3,,3
r-2052,t-2013,u-2072,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-12T20:00:00+00:00,2024-04-12T21:00:00+00:00,publish,6,,4
r-2053,t-2014,u-2073,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-16T15:00:00+00:00,2024-04-16T16:00:00+00:00,publish,39,,1
r-2054,t-2014,u-2074,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-17T17:00:00+00:00,2024-04-17T18:00:00+00:00,publish,5,,2
r-2055,t-2014,u-2075,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-18T19:00:00+00:00,2024-04-18T20:00:00+00:00,publish,8,,3
r-2056,t-2014,u-2076,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-19T21:00:00+00:00,2024-04-19T22:00:00+00:00,publish,11,,4
r-2057,t-2015,u-2077,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-23T11:00:00+00:00,2024-04-23T12:00:00+00:00,publish,7,,1
r-2058,t-2015,u-2078,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-24T13:00:00+00:00,2024-04-24T14:00:00+00:00,publish,10,,2
r-2059,t-2015,u-2079,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-25T15:00:00+00:00,2024-04-25T16:00:00+00:00,publish,13,,3
r-2060,t-2015,u-2080,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-26T17:00:00+00:00,2024-04-26T18:00:00+00:00,publish,16,,4
r-2061,t-2016,u-2081,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-04-30T12:00:00+00:00,2024-04-30T13:00:00+00:00,publish,12,,1
r-2062,t-2016,u-2082,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-01T14:00:00+00:00,2024-05-01T15:00:00+00:00,publish,15,,2
r-2063,t-2016,u-2083,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-02T16:00:00+00:00,2024-05-02T17:00:00+00:00,publish,18,,3
r-2064,t-2016,u-2084,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-03T18:00:00+00:00,2024-05-03T19:00:00+00:00,publish,21,,4
r-2065,t-2017,u-2085,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-07T13:00:00+00:00,2024-05-07T14:00:00+00:00,publish,17,,1
r-2066,t-2017,u-2086,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-08T15:00:00+00:00,2024-05-08T16:00:00+00:00,publish,20,,2
r-2067,t-2017,u-2087,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-09T17:00:00+00:00,2024-05-09T18:00:00+00:00,publish,23,,3
r-2068,t-2017,u-2088,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-10T19:00:00+00:00,2024-05-10T20:00:00+00:00,publish,26,,4
r-2069,t-2018,u-2089,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-14T14:00:00+00:00,2024-05-14T15:00:00+00:00,publish,22,,1
r-2070,t-2018,u-2090,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-15T16:00:00+00:00,2024-05-15T17:00:00+00:00,publish,25,,2
r-2071,t-2018,u-2091,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-16T18:00:00+00:00,2024-05-16T19:00:00+00:00,publish,28,,3
r-2072,t-2018,u-2092,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-17T20:00:00+00:00,2024-05-17T21:00:00+00:00,publish,31,,4
r-2073,t-2019,u-2093,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-21T15:00:00+00:00,2024-05-21T16:00:00+00:00,publish,27,,1
r-2074,t-2019,u-2094,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-22T17:00:00+00:00,2024-05-22T18:00:00+00:00,publish,30,,2
r-2075,t-2019,u-2095,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-23T19:00:00+00:00,2024-05-23T20:00:00+00:00,publish,33,,3
r-2076,t-2019,u-2096,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-24T21:00:00+00:00,2024-05-24T22:00:00+00:00,publish,36,,4
r-2077,t-2020,u-2097,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-28T11:00:00+00:00,2024-05-28T12:00:00+00:00,publish,32,,1
r-2078,t-2020,u-2098,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-29T13:00:00+00:00,2024-05-29T14:00:00+00:00,publish,35,,2
r-2079,t-2020,u-2099,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-30T15:00:00+00:00,2024-05-30T16:00:00+00:00,publish,38,,3
r-2080,t-2020,u-2100,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-05-31T17:00:00+00:00,2024-05-31T18:00:00+00:00,publish,4,,4
